"","median_house_value","longitude","latitude","housing_median_age","population","households","median_income","ocean_proximity","room.per.household","bedroom.per.room","household.size","id"
"2464",87500,-120.27,36.29,11,1376,318,2.4398,"INLAND",4.20440251572327,0.308152580403889,4.32704402515723,2481
"2466",65000,-120.37,36.16,36,310,124,3.0658,"INLAND",4.94354838709677,0.202283849918434,2.5,2483
"2467",62000,-120.36,36.14,18,622,217,1.8264,"INLAND",5.55760368663594,0.227197346600332,2.86635944700461,2484
"2469",86400,-120.37,36.13,10,1335,493,3.2639,"INLAND",5.11561866125761,0.211340206185567,2.7079107505071,2486
"2470",86300,-120.37,36.15,34,868,347,4.381,"INLAND",6.00576368876081,0.162667946257198,2.5014409221902,2487
"2472",60400,-120.35,36.14,9,1484,541,1.7075,"INLAND",4.93715341959335,0.242231374017222,2.74306839186691,2489
"2473",55500,-120.36,36.13,29,1306,415,3.0134,"INLAND",4.66987951807229,0.223942208462332,3.14698795180723,2490
"2474",76600,-120.31,36.65,24,514,156,2.25,"INLAND",6.04487179487179,0.221633085896076,3.29487179487179,2491
"2475",66000,-120.25,36.65,31,744,223,2.4937,"INLAND",5.2780269058296,0.187765505522515,3.33632286995516,2492
"2477",57200,-120.19,36.61,29,1408,322,2.293,"INLAND",4.59316770186335,0.228532792427316,4.37267080745342,2494
"2480",68900,-120.41,36.77,24,1180,267,1.947,"INLAND",5,0.233707865168539,4.41947565543071,2497
"2481",112500,-120.67,36.72,18,996,198,2.5,"INLAND",4.13636363636364,0.241758241758242,5.03030303030303,2498
"2483",55200,-120.39,36.78,11,2104,486,1.7184,"INLAND",4.00617283950617,0.250642013353878,4.32921810699589,2500
"2486",54300,-120.38,36.76,12,1043,243,1.4038,"INLAND",3.83539094650206,0.261802575107296,4.29218106995885,2503
"2487",63000,-120.46,36.87,20,954,269,1.3386,"INLAND",4.78438661710037,0.240870240870241,3.54646840148699,2504
"2491",71900,-120.51,36.86,21,1446,371,2.4414,"INLAND",4.79514824797844,0.224283305227656,3.89757412398922,2508
"2492",74400,-120.55,36.97,42,1084,323,2.3295,"INLAND",5.46749226006192,0.194790486976217,3.35603715170279,2509
"2494",67500,-119.55,36.51,46,26,5,4.125,"INLAND",11,0.2,5.2,2511
"2495",162500,-119.54,36.51,36,28,2,4.625,"INLAND",24.5,0.142857142857143,14,2512
"2498",85000,-122.16,39.74,20,337,125,3.0469,"INLAND",5.656,0.178217821782178,2.696,2515
"2500",72200,-122.25,39.79,16,1104,369,3.0469,"INLAND",5.76422764227642,0.193700047014575,2.99186991869919,2517
"2501",69600,-122.16,39.78,32,562,203,2.325,"INLAND",6.3448275862069,0.171583850931677,2.76847290640394,2518
"2502",94300,-122.13,39.74,20,668,250,2.2569,"INLAND",5.604,0.199857244825125,2.672,2519
"2505",14999,-122.74,39.71,16,85,38,1.6607,"INLAND",6.71052631578947,0.286274509803922,2.23684210526316,2522
"2506",67500,-122.38,39.68,21,510,175,2.3851,"INLAND",6.6,0.181818181818182,2.91428571428571,2523
"2507",87500,-122.14,39.65,33,190,67,3.6429,"INLAND",6.25373134328358,0.183770883054893,2.83582089552239,2524
"2508",81600,-122.18,39.55,28,673,246,3.25,"INLAND",5.97967479674797,0.176070700203943,2.73577235772358,2525
"2509",71900,-122.53,39.5,25,658,211,2.4861,"INLAND",5.83412322274881,0.194963444354184,3.11848341232227,2526
"2510",58700,-122.19,39.53,34,1287,505,2.165,"INLAND",5.30495049504951,0.198954833893244,2.54851485148515,2527
"2511",71000,-122.2,39.53,22,1647,594,2.3566,"INLAND",5.496632996633,0.201531393568147,2.77272727272727,2528
"2512",125000,-122.23,39.53,8,1237,326,1.3708,"INLAND",3.88957055214724,0.264984227129338,3.79447852760736,2529
"2513",66900,-122.22,39.51,17,555,277,2.1,"INLAND",4.33574007220217,0.223147377185679,2.00361010830325,2530
"2518",95300,-122.05,39.6,34,958,322,2.8466,"INLAND",6.3695652173913,0.166747927840078,2.97515527950311,2535
"2519",77100,-122.1,39.47,43,512,197,2.4917,"INLAND",6.7005076142132,0.162878787878788,2.5989847715736,2536
"2520",70500,-121.94,39.45,39,535,165,1.832,"INLAND",5.11515151515152,0.190758293838863,3.24242424242424,2537
"2521",58700,-122.01,39.74,20,1856,495,2.1746,"INLAND",4.71111111111111,0.222126929674099,3.74949494949495,2538
"2523",80500,-124.16,40.8,52,1150,571,1.7308,"NEAR OCEAN",4.23117338003503,0.255794701986755,2.01401050788091,2540
"2525",75500,-124.17,40.8,52,891,367,1.585,"NEAR OCEAN",4.37602179836512,0.260896637608966,2.42779291553134,2542
"2526",62500,-124.17,40.8,52,758,319,1.8529,"NEAR OCEAN",4.88087774294671,0.220937700706487,2.37617554858934,2543
"2527",92700,-124.16,40.79,52,975,430,2.2566,"NEAR OCEAN",4.9953488372093,0.195996275605214,2.26744186046512,2544
"2528",85400,-124.16,40.78,50,837,353,2.5417,"NEAR OCEAN",6.47308781869688,0.17636761487965,2.37110481586402,2545
"2529",68300,-124.17,40.78,39,731,327,1.6369,"NEAR OCEAN",4.91131498470948,0.205479452054795,2.23547400611621,2546
"2535",85600,-124.16,40.77,35,1053,434,2.8529,"NEAR OCEAN",4.9331797235023,0.20457730032695,2.42626728110599,2552
"2537",70200,-124.18,40.78,37,867,310,2.5536,"NEAR OCEAN",4.68709677419355,0.201651754989677,2.79677419354839,2554
"2538",72200,-124.18,40.78,33,656,236,2.5096,"NEAR OCEAN",4.55932203389831,0.20631970260223,2.77966101694915,2555
"2539",67000,-124.18,40.78,34,950,317,2.1607,"NEAR OCEAN",5.02208201892744,0.228643216080402,2.99684542586751,2556
"2541",82800,-124.17,40.76,26,992,380,2.8056,"NEAR OCEAN",4.67368421052632,0.203265765765766,2.61052631578947,2558
"2542",69000,-124.19,40.77,30,1367,583,2.442,"NEAR OCEAN",5.10291595197256,0.213109243697479,2.34476843910806,2559
"2543",67500,-124.15,40.81,50,235,83,1.75,"NEAR OCEAN",4.09638554216868,0.217647058823529,2.83132530120482,2560
"2544",72600,-124.14,40.8,32,872,306,2.5,"NEAR OCEAN",4.48692810457516,0.227239621267298,2.84967320261438,2561
"2545",74100,-124.15,40.8,47,765,329,1.755,"NEAR OCEAN",4.51671732522796,0.225437415881561,2.32522796352584,2562
"2547",74100,-124.16,40.8,52,952,435,1.1386,"NEAR OCEAN",3.91494252873563,0.293599530240752,2.18850574712644,2564
"2548",81000,-124.14,40.79,38,873,291,2.4896,"NEAR OCEAN",5.33333333333333,0.186855670103093,3,2565
"2551",90600,-124.16,40.79,46,1206,541,2.1135,"NEAR OCEAN",5.62292051756007,0.196252465483235,2.22920517560074,2568
"2553",92800,-124.14,40.78,35,982,432,3.4219,"NEAR OCEAN",5.61574074074074,0.174361088211047,2.27314814814815,2570
"2554",99600,-124.14,40.77,27,1407,571,2.9143,"NEAR OCEAN",5.33450087565674,0.198621142481944,2.46409807355517,2571
"2555",100600,-124.15,40.76,24,1388,512,3.375,"NEAR OCEAN",5.58203125,0.178796361091672,2.7109375,2572
"2557",96100,-124.11,40.81,23,425,175,2.5536,"NEAR OCEAN",5.48,0.221063607924922,2.42857142857143,2574
"2561",92800,-124.13,40.79,32,855,346,3.5833,"NEAR OCEAN",5.82947976878613,0.177987109568666,2.47109826589595,2578
"2562",98100,-124.06,40.86,34,1891,669,3.2216,"NEAR OCEAN",6.2526158445441,0.187295660739629,2.82660687593423,2579
"2563",143000,-124.05,40.85,31,1005,401,3.5156,"NEAR OCEAN",6.01995012468828,0.177299088649544,2.50623441396509,2580
"2564",133900,-124.02,40.8,22,1198,442,3.9792,"<1H OCEAN",5.8552036199095,0.168083462132921,2.710407239819,2581
"2567",87500,-124.09,40.87,44,398,211,1.1576,"NEAR OCEAN",3.27962085308057,0.297687861271676,1.88625592417062,2584
"2568",99200,-124.07,40.87,47,796,333,2.2138,"NEAR OCEAN",5.3003003003003,0.184702549575071,2.39039039039039,2585
"2570",105800,-124.09,40.88,50,420,187,2.2188,"NEAR OCEAN",4.92513368983957,0.203040173724213,2.24598930481283,2587
"2571",153100,-124.07,40.87,31,780,130,0.7684,"NEAR OCEAN",2.56923076923077,0.401197604790419,6,2588
"2572",57500,-124.15,40.88,33,1165,441,1.725,"NEAR OCEAN",5.06802721088435,0.226398210290828,2.64172335600907,2589
"2574",74100,-124.09,40.88,31,1052,467,1.5326,"NEAR OCEAN",4.2441113490364,0.249747729566095,2.25267665952891,2591
"2576",92600,-124.1,40.9,18,1948,775,2.7321,"NEAR OCEAN",5.20258064516129,0.197916666666667,2.51354838709677,2593
"2577",50800,-124.23,40.81,52,544,172,3.3462,"NEAR OCEAN",6.46511627906977,0.18794964028777,3.16279069767442,2594
"2578",139500,-124.06,40.88,12,1603,438,2.5667,"NEAR OCEAN",4.7648401826484,0.203162434115956,3.65981735159817,2595
"2580",78800,-124.08,40.91,13,1381,628,1.6667,"NEAR OCEAN",4.01592356687898,0.285091197462331,2.19904458598726,2597
"2581",79800,-123.76,41.03,24,1058,414,2.0644,"<1H OCEAN",5.76328502415459,0.236797988264878,2.55555555555556,2598
"2582",36700,-123.85,41.32,31,425,157,1.0486,"<1H OCEAN",5.97452229299363,0.253731343283582,2.70700636942675,2599
"2585",62700,-123.66,41.3,22,686,264,1.8065,"<1H OCEAN",5.98484848484848,0.235443037974684,2.59848484848485,2602
"2589",143400,-124.14,41.06,32,421,198,3.0208,"NEAR OCEAN",5.15151515151515,0.21078431372549,2.12626262626263,2606
"2591",102700,-124.01,40.97,21,943,301,3.538,"<1H OCEAN",5.0265780730897,0.21083939193655,3.1328903654485,2608
"2592",98800,-124,40.92,29,672,266,2.9485,"<1H OCEAN",5.37218045112782,0.203109959054536,2.52631578947368,2609
"2596",75500,-124.16,41.02,23,1060,390,2.1726,"NEAR OCEAN",4.28717948717949,0.230263157894737,2.71794871794872,2613
"2599",81700,-124.11,40.95,19,866,342,2.96,"NEAR OCEAN",5.07017543859649,0.210495963091119,2.53216374269006,2616
"2600",99600,-124.09,40.95,18,1248,472,2.5893,"NEAR OCEAN",4.76694915254237,0.215111111111111,2.64406779661017,2617
"2601",73600,-124.11,40.93,25,1298,461,3.5076,"NEAR OCEAN",5.18872017353579,0.198160535117057,2.81561822125813,2618
"2602",90200,-124.11,40.93,17,948,357,2.7639,"NEAR OCEAN",4.65266106442577,0.198073449729079,2.65546218487395,2619
"2603",70100,-124.08,40.94,18,941,335,2.3147,"NEAR OCEAN",4.62686567164179,0.22258064516129,2.8089552238806,2620
"2605",165600,-124.05,40.94,14,516,181,5.0329,"NEAR OCEAN",8.02209944751381,0.149449035812672,2.85082872928177,2622
"2608",119900,-124.02,40.72,28,1658,598,3.8095,"<1H OCEAN",5.87458193979933,0.180472530600626,2.77257525083612,2625
"2609",111800,-124.1,40.73,33,334,121,3.9659,"NEAR OCEAN",5.32231404958678,0.200310559006211,2.7603305785124,2626
"2610",128900,-124.17,40.74,17,873,313,4.0357,"NEAR OCEAN",6.47284345047923,0.166831194471866,2.78913738019169,2627
"2611",100500,-124.14,40.72,18,1375,503,2.8446,"NEAR OCEAN",5.13121272365805,0.193335916311507,2.73359840954274,2628
"2614",58100,-124.21,40.75,32,620,268,1.6528,"NEAR OCEAN",4.54477611940298,0.27175697865353,2.3134328358209,2631
"2615",79000,-124.27,40.69,36,1194,465,2.5179,"NEAR OCEAN",5.05161290322581,0.22477650063857,2.56774193548387,2632
"2617",86400,-124.17,40.62,32,706,277,2.8958,"NEAR OCEAN",5.75812274368231,0.193730407523511,2.54873646209386,2634
"2620",79600,-124.15,40.59,39,539,212,2.0938,"NEAR OCEAN",5.59433962264151,0.200674536256324,2.54245283018868,2637
"2621",128100,-124.14,40.6,27,521,219,4.025,"NEAR OCEAN",5.24200913242009,0.179442508710801,2.37899543378995,2638
"2622",66800,-124.14,40.59,22,826,382,1.5625,"NEAR OCEAN",4.3586387434555,0.243243243243243,2.16230366492147,2639
"2623",76800,-124.14,40.59,17,1544,584,2.178,"NEAR OCEAN",5.11130136986301,0.204355108877722,2.64383561643836,2640
"2624",95200,-124.05,40.59,32,937,353,3.4408,"<1H OCEAN",5.32011331444759,0.181043663471778,2.65439093484419,2641
"2626",92600,-123.96,40.57,31,883,310,2.3167,"<1H OCEAN",5.98064516129032,0.196871628910464,2.84838709677419,2643
"2627",77100,-123.73,40.48,25,746,251,1.7153,"INLAND",8.02788844621514,0.260049627791563,2.97211155378486,2644
"2630",74100,-124.11,40.57,33,573,236,2.4896,"<1H OCEAN",5.71186440677966,0.173590504451039,2.42796610169492,2647
"2631",94800,-124.13,40.55,38,240,91,3.25,"<1H OCEAN",5.97802197802198,0.200621418255675,2.63736263736264,2648
"2633",57500,-124.1,40.5,42,1300,504,1.7574,"<1H OCEAN",4.72222222222222,0.232352941176471,2.57936507936508,2650
"2635",55000,-124.1,40.47,52,965,265,3.5345,"<1H OCEAN",4.51320754716981,0.197324414715719,3.64150943396226,2652
"2636",71300,-124.03,40.45,34,443,158,2.6094,"<1H OCEAN",6.36708860759494,0.211729622266402,2.80379746835443,2653
"2637",111400,-124.26,40.58,52,907,369,2.3571,"NEAR OCEAN",6.00813008130081,0.177717636445647,2.4579945799458,2654
"2639",94600,-124.35,40.54,52,806,270,3.0147,"NEAR OCEAN",6.74074074074074,0.164835164835165,2.98518518518519,2656
"2645",76800,-123.82,40.16,19,1184,453,1.2227,"<1H OCEAN",5.03973509933775,0.277704774419623,2.61368653421634,2662
"2646",82400,-123.82,40.12,33,1221,486,2.087,"<1H OCEAN",6.14197530864198,0.197989949748744,2.51234567901235,2663
"2647",101500,-123.75,40.11,35,900,402,1.9625,"<1H OCEAN",5.1044776119403,0.232456140350877,2.23880597014925,2664
"2648",101900,-123.78,40.05,17,899,347,2.1864,"<1H OCEAN",5.81844380403458,0.245666171371966,2.59077809798271,2665
"2650",53400,-115.52,33.13,18,1006,253,2.163,"INLAND",4.38339920948617,0.255184851217313,3.97628458498024,2667
"2652",40000,-115.46,33.19,33,777,298,1,"INLAND",4.14093959731544,0.30226904376013,2.60738255033557,2669
"2654",72500,-115.6,33.2,37,390,142,2.4511,"INLAND",4.99295774647887,0.263751763046544,2.74647887323944,2671
"2655",87500,-115.73,33.09,27,258,61,2.9,"INLAND",7.40983606557377,0.22787610619469,4.22950819672131,2672
"2657",62000,-115.62,33.04,20,766,230,2.2969,"INLAND",4.87391304347826,0.217662801070473,3.3304347826087,2674
"2659",107800,-115.41,32.99,29,684,194,3.4038,"INLAND",5.88144329896907,0.192813321647677,3.52577319587629,2676
"2660",113500,-115.59,32.96,17,473,154,3.1979,"INLAND",5.46103896103896,0.173602853745541,3.07142857142857,2677
"2663",62200,-115.53,32.99,25,2082,565,1.7159,"INLAND",4.56283185840708,0.245927075252133,3.68495575221239,2680
"2665",69400,-115.54,32.99,23,1148,388,1.5372,"INLAND",3.76030927835052,0.255654557916381,2.95876288659794,2682
"2667",96000,-115.54,32.99,17,911,254,4.3523,"INLAND",6.68110236220472,0.157925751325869,3.58661417322835,2684
"2668",80800,-115.55,32.98,24,1447,473,3.2593,"INLAND",5.42283298097252,0.206627680311891,3.05919661733615,2685
"2669",70800,-115.54,32.97,41,1188,430,3.0091,"INLAND",5.64883720930233,0.186908192671881,2.76279069767442,2686
"2670",70700,-115.53,32.97,35,933,318,2.4063,"INLAND",4.97798742138365,0.214782059380922,2.93396226415094,2687
"2671",143000,-115.55,32.98,33,952,360,5.4349,"INLAND",6.29444444444444,0.16107678729038,2.64444444444444,2688
"2672",107200,-115.56,32.96,21,1164,421,3.8177,"INLAND",5.14014251781473,0.22181146025878,2.76484560570071,2689
"2674",66400,-115.52,32.97,24,1416,401,1.975,"INLAND",4.03241895261845,0.226345083487941,3.53117206982544,2691
"2676",1e+05,-115.32,32.82,34,327,89,3.6528,"INLAND",6.64044943820225,0.235194585448393,3.67415730337079,2693
"2679",74300,-115.37,32.81,23,866,275,2.3594,"INLAND",5.30181818181818,0.201646090534979,3.14909090909091,2696
"2683",67500,-115.38,32.81,35,950,241,1.8958,"INLAND",5.24066390041494,0.207442596991291,3.94190871369295,2700
"2685",62300,-115.57,32.85,33,825,250,3.2396,"INLAND",5.46,0.197069597069597,3.3,2702
"2687",61100,-115.57,32.84,29,804,288,1.9531,"INLAND",4.19097222222222,0.249378624689312,2.79166666666667,2704
"2689",90800,-115.59,32.85,20,862,248,4.875,"INLAND",6.48387096774194,0.170398009950249,3.4758064516129,2706
"2690",83200,-115.6,32.87,3,1005,312,4.1293,"INLAND",5.22115384615385,0.194597912829957,3.22115384615385,2707
"2691",102800,-115.49,32.87,19,457,106,3.3583,"INLAND",5.10377358490566,0.192236598890943,4.31132075471698,2708
"2692",125000,-115.64,32.8,23,569,235,3.1667,"INLAND",5.22553191489362,0.191368078175896,2.42127659574468,2709
"2694",93800,-115.73,32.8,44,206,57,2.2083,"INLAND",8.28070175438597,0.171610169491525,3.6140350877193,2711
"2696",112500,-115.64,32.75,19,198,55,1.625,"INLAND",6.85454545454545,0.183023872679045,3.6,2713
"2698",67500,-115.55,32.82,34,1013,274,2.5664,"INLAND",5.62043795620438,0.205194805194805,3.6970802919708,2715
"2700",69900,-115.57,32.8,17,1595,428,1.7188,"INLAND",3.48598130841122,0.285522788203753,3.72663551401869,2717
"2701",72600,-115.57,32.8,16,961,327,1.1853,"INLAND",3.99694189602446,0.274674827850038,2.9388379204893,2718
"2702",93800,-115.57,32.8,16,1184,513,1.875,"INLAND",4.43664717348928,0.260984182776801,2.30799220272904,2719
"2704",79200,-115.52,32.77,18,1166,333,2.2417,"INLAND",5.15015015015015,0.196501457725948,3.5015015015015,2721
"2705",61200,-115.53,32.73,14,1453,332,1.735,"INLAND",4.59939759036145,0.212835625409299,4.37650602409639,2722
"2707",142500,-115.5,32.75,13,822,64,3.4107,"INLAND",5.15625,0.218181818181818,12.84375,2724
"2708",61000,-115.55,32.8,23,580,160,2.1136,"INLAND",4.1625,0.213213213213213,3.625,2725
"2709",53600,-115.55,32.79,22,692,141,1.2083,"INLAND",4.00709219858156,0.286725663716814,4.90780141843972,2726
"2710",56100,-115.54,32.79,30,733,186,1.6607,"INLAND",4.04301075268817,0.257978723404255,3.94086021505376,2727
"2711",60400,-115.54,32.79,23,1370,377,1.275,"INLAND",4.54111405835544,0.235397196261682,3.63395225464191,2728
"2712",59600,-115.55,32.79,23,697,201,1.6351,"INLAND",4.99502487562189,0.220119521912351,3.46766169154229,2729
"2713",68600,-115.57,32.8,33,1066,211,4.5714,"INLAND",5.64928909952607,0.178691275167785,5.0521327014218,2730
"2719",62500,-115.56,32.79,20,2283,767,1.1707,"INLAND",3.09256844850065,0.352023608768971,2.97653194263364,2736
"2721",70800,-115.56,32.78,46,1583,469,3.0603,"INLAND",5.35394456289979,0.195141377937077,3.37526652452026,2738
"2722",86200,-115.56,32.78,35,615,191,4.6154,"INLAND",6.20418848167539,0.170464135021097,3.21989528795812,2739
"2723",99600,-115.57,32.78,25,1135,332,5.128,"INLAND",6.04518072289157,0.149975087194818,3.41867469879518,2740
"2724",76200,-115.56,32.78,29,848,245,3.1597,"INLAND",6.4,0.180484693877551,3.46122448979592,2741
"2725",84300,-115.55,32.78,5,1767,536,2.8025,"INLAND",4.94776119402985,0.228506787330317,3.29664179104478,2742
"2727",159900,-115.59,32.79,8,1000,287,6.3814,"INLAND",7.60627177700348,0.14063215758131,3.48432055749129,2744
"2728",64400,-115.58,32.79,14,762,451,1.6635,"INLAND",3.74057649667406,0.300533491404861,1.68957871396896,2745
"2730",86400,-115.57,32.78,29,1173,360,4.0375,"INLAND",6.44722222222222,0.158121499353727,3.25833333333333,2747
"2732",87500,-115.57,32.78,15,803,277,4.3021,"INLAND",5.10108303249097,0.197452229299363,2.89891696750903,2749
"2734",94400,-115.59,32.69,30,649,148,2.5769,"INLAND",6.31756756756757,0.189304812834225,4.38513513513514,2751
"2736",95800,-115.4,32.7,19,531,134,1.6838,"INLAND",4.35074626865672,0.193825042881647,3.96268656716418,2753
"2737",70100,-115.49,32.67,25,2185,602,1.375,"INLAND",3.85714285714286,0.246770025839793,3.62956810631229,2754
"2738",73100,-115.49,32.67,24,1083,298,1.4828,"INLAND",4.24832214765101,0.217219589257504,3.63422818791946,2755
"2739",91200,-115.48,32.68,15,2097,622,2.3319,"INLAND",5.4887459807074,0.195079086115993,3.37138263665595,2756
"2740",88400,-115.5,32.68,18,3565,924,1.5931,"INLAND",3.92965367965368,0.251445882676949,3.85822510822511,2757
"2741",75500,-115.5,32.67,35,1694,475,2.1776,"INLAND",4.54526315789474,0.22788327929597,3.56631578947368,2758
"2744",67700,-115.52,32.67,6,2807,594,2.0625,"INLAND",4.72053872053872,0.207203994293866,4.72558922558923,2761
"2745",81300,-116.05,33.33,17,135,57,1.7292,"INLAND",5.08771929824561,0.324137931034483,2.36842105263158,2762
"2746",51300,-116,33.19,16,81,33,1.2639,"INLAND",7.42424242424242,0.23265306122449,2.45454545454545,2763
"2747",32500,-115.88,32.93,15,51,20,4.0208,"INLAND",10.4,0.235576923076923,2.55,2764
"2751",54300,-115.99,33.4,15,515,273,2.0109,"INLAND",7.12454212454212,0.275578406169666,1.88644688644689,2768
"2753",53800,-115.98,33.32,8,63,24,1.4688,"INLAND",10,0.191666666666667,2.625,2770
"2755",62800,-115.9,33.34,19,329,155,1.7857,"INLAND",7.80645161290323,0.20495867768595,2.12258064516129,2772
"2757",53800,-115.95,33.28,12,37,17,1.8958,"INLAND",5.82352941176471,0.252525252525253,2.17647058823529,2774
"2758",47500,-115.8,33.26,2,30,16,5.3374,"INLAND",6,0.1875,1.875,2775
"2759",59200,-114.73,33.43,24,227,139,0.8964,"INLAND",5.72661870503597,0.305276381909548,1.63309352517986,2776
"2760",57500,-114.98,33.07,18,374,127,3.1607,"INLAND",9.31496062992126,0.306846999154691,2.94488188976378,2777
"2762",30000,-115.73,33.35,23,338,182,1.2132,"INLAND",8.71428571428571,0.282471626733922,1.85714285714286,2779
"2766",44000,-114.66,32.74,17,775,320,1.2049,"INLAND",4.3375,0.278097982708934,2.421875,2783
"2767",108300,-118.18,37.35,16,1501,714,2.1212,"INLAND",5.33053221288515,0.208617971623752,2.10224089635854,2784
"2768",141500,-118.43,37.4,19,1225,425,4.1576,"INLAND",5.78823529411765,0.164634146341463,2.88235294117647,2785
"2769",166000,-118.6,37.39,19,1134,399,3.2132,"INLAND",6.7218045112782,0.193139448173005,2.84210526315789,2786
"2770",118800,-118.45,37.25,20,721,270,3.0817,"INLAND",5.43703703703704,0.192779291553134,2.67037037037037,2787
"2771",139700,-118.45,37.37,26,1385,523,4.337,"INLAND",5.9942638623327,0.167145135566188,2.64818355640535,2788
"2774",116100,-118.4,37.36,34,1172,575,1.9722,"INLAND",4.28695652173913,0.251115618661258,2.03826086956522,2791
"2775",105800,-118.39,37.37,25,1477,770,1.8325,"INLAND",4.27922077922078,0.250075872534143,1.91818181818182,2792
"2777",94500,-118.3,37.17,22,1541,636,2.75,"INLAND",5.47169811320755,0.193390804597701,2.42295597484277,2794
"2778",137500,-117.9,36.95,19,51,22,1.7292,"INLAND",4.5,0.262626262626263,2.31818181818182,2795
"2779",80600,-118.31,36.94,35,861,371,2.325,"INLAND",6.90835579514825,0.206788919235271,2.32075471698113,2796
"2782",45500,-117.69,36.13,25,632,292,1.7868,"INLAND",5.8527397260274,0.256875365710942,2.16438356164384,2799
"2783",14999,-117.02,36.4,19,490,164,2.1,"INLAND",3.77439024390244,0.38610662358643,2.98780487804878,2800
"2785",64900,-119.02,35.42,42,1124,447,2.7583,"INLAND",5.08053691275168,0.201673271686482,2.51454138702461,2802
"2786",62400,-119.03,35.42,45,754,334,2.5703,"INLAND",4.87425149700599,0.216216216216216,2.25748502994012,2803
"2787",67900,-119.03,35.42,38,1491,568,2.6094,"INLAND",5.19718309859155,0.202574525745257,2.625,2804
"2791",70700,-119.02,35.43,39,956,379,3.1736,"INLAND",5.36411609498681,0.181997048696508,2.52242744063325,2808
"2792",67200,-119.02,35.42,40,520,218,2.2727,"INLAND",4.9954128440367,0.20752984389348,2.38532110091743,2809
"2795",54600,-119.03,35.42,42,905,393,1.6286,"INLAND",4.33842239185751,0.245161290322581,2.3027989821883,2812
"2796",54300,-119.03,35.41,41,1005,373,1.7857,"INLAND",4.84718498659517,0.240597345132743,2.69436997319035,2813
"2797",54700,-119.04,35.42,47,913,358,1.8403,"INLAND",4.72346368715084,0.237729154346541,2.55027932960894,2814
"2800",67000,-119.02,35.41,21,1297,517,2.0575,"INLAND",4.90135396518375,0.218626677190213,2.50870406189555,2817
"2801",51900,-119.02,35.41,41,1106,473,1.97,"INLAND",4.69556025369979,0.232327780279154,2.33826638477801,2818
"2804",51400,-119.02,35.41,31,1413,611,1.3222,"INLAND",3.84288052373159,0.29855195911414,2.3126022913257,2821
"2805",63500,-119.03,35.4,35,1566,583,2.1818,"INLAND",4.47341337907376,0.237730061349693,2.6861063464837,2822
"2808",107600,-119.07,35.42,19,1872,731,2.6812,"INLAND",5.32010943912449,0.213936744664438,2.5608755129959,2825
"2809",130600,-119.09,35.41,12,1754,551,5.6235,"INLAND",6.25952813067151,0.151348216874456,3.18330308529946,2826
"2811",237500,-119.09,35.43,28,118,37,4.8571,"INLAND",6.86486486486486,0.137795275590551,3.18918918918919,2828
"2812",126400,-119.05,35.4,18,846,317,3.8611,"INLAND",5.97476340694006,0.168426610348469,2.66876971608833,2829
"2813",132200,-119.08,35.39,10,3242,1030,5.575,"INLAND",6.24757281553398,0.161616161616162,3.14757281553398,2830
"2814",44600,-119.01,35.4,11,4781,1919,1.7109,"INLAND",4.5539343408025,0.250600755235153,2.49140177175612,2831
"2816",50600,-119.01,35.38,36,426,208,1.4427,"INLAND",3.79807692307692,0.283544303797468,2.04807692307692,2833
"2818",90400,-118.99,35.4,43,890,374,4.0208,"INLAND",5.94919786096257,0.176179775280899,2.37967914438503,2835
"2819",84600,-118.99,35.4,48,789,321,3.5714,"INLAND",5.94392523364486,0.173480083857442,2.45794392523365,2836
"2820",93900,-119,35.4,44,928,379,4.3906,"INLAND",5.93667546174142,0.168,2.44854881266491,2837
"2822",72100,-119,35.39,51,648,300,2.8295,"INLAND",4.57666666666667,0.206846321922797,2.16,2839
"2823",85500,-118.97,35.41,36,937,303,3.996,"INLAND",6.25742574257426,0.166139240506329,3.09240924092409,2840
"2824",76200,-118.97,35.4,34,854,309,3.1906,"INLAND",6.01618122977346,0.173749327595481,2.76375404530744,2841
"2826",73100,-118.98,35.4,36,680,259,2.9821,"INLAND",5.57142857142857,0.189189189189189,2.62548262548263,2843
"2829",89000,-118.96,35.4,28,2404,841,3.2325,"INLAND",5.54934601664685,0.187486608099421,2.85850178359096,2846
"2831",101700,-118.95,35.4,23,2136,883,3.6875,"INLAND",5.07701019252548,0.199420031229088,2.41902604756512,2848
"2832",89100,-118.96,35.4,27,1271,427,3.5524,"INLAND",5.79156908665105,0.161746866154468,2.97658079625293,2849
"2834",92900,-118.96,35.38,34,888,352,3.6734,"INLAND",5.81534090909091,0.169516365412799,2.52272727272727,2851
"2837",87000,-118.94,35.38,26,2365,743,3.7533,"INLAND",6.46029609690444,0.173125,3.18304172274563,2854
"2840",99500,-118.95,35.41,21,1889,688,3.875,"INLAND",5.8125,0.181795448862216,2.74563953488372,2857
"2841",104600,-118.94,35.4,14,2815,935,4.2214,"INLAND",5.93368983957219,0.169610670511896,3.01069518716578,2858
"2843",194100,-118.94,35.39,13,1318,397,7.7751,"INLAND",7.90176322418136,0.13292955052598,3.31989924433249,2860
"2845",143000,-118.94,35.41,10,1539,483,6.3639,"INLAND",6.6583850931677,0.163557213930348,3.18633540372671,2862
"2846",113000,-118.91,35.4,10,1398,763,2.569,"INLAND",4.70117955439056,0.215779202676331,1.83224115334207,2863
